Tibetan	Description
རིན་ཆེན་བྱུར་དམར་ཉེར་ལྔ་	The Precious Coral twenty five This precious pill is prepared on the basis of formula written by དིལ་དམར་བ and consists of twenty five different ingredients. [e:The Precious Coral twenty five This precious pill is prepared on the basis of formula written by དིལ་དམར་བ and consists of twenty five different ingredients. Ingredients: ཤིང་མངར། ཨ་ག་རུ། ཏིག་ཏ། རུ་རྟ། ཛ་ཏི། མུ་ཏིག་ལས་སྣོན་བྱས་པ། ལི་ཤི། བྱུ་རུ་ལས་སྣོན་བྱས་པ། ཁབ་ལེན་ལས་སྣོན་བྱས་པ། མུ་མེན་ལས་སྣོན་བྱས་པ། མེ་ཏོག་ལུག་མིག། སིན་དྷུ་ར། བིལ་བ། ཏིལ་དཀར། གངས། ཐིགས་ཆུ་བཅད། གུར་རུམ། མཚལ་བཏུལ་མ། ཨ་རུ། འབྲུག་རུས་ལས་སྣོན་བྱས་པ། རྡོ་ཀླད་ལས་སྣོན་བྱས་པ། གཟེར་འཇོམས། ཤུ་དག། སྨན་ཆེན། གླ་རྩི། ཀ་ར། Nature: Cool and slightly poisonous ( བཟི ) Uses: It is beneficial in the treatment of neurological diseases, encephalodynia, vertigo, stiffness of the neck, meningitis, fainting, dazed mental state, facial paralysis, malfunctioning (impaired) of sense organs, paralysis, rigid and contraction of the extremities and torn nerves due to accidents.  
རིན་ཆེན་མང་སྦྱོར་ཆེན་མོ་	The Great Multi-Compound Precious Pill This preparation is based on the formula by ཨཱོ་རྒྱན་པ་རིནཆེན་དཔལ [e:The Great Multi-Compound Precious Pill This preparation is based on the formula by ཨཱོ་རྒྱན་པ་རིནཆེན་དཔལ (1229-1309) and it consists of about seventy ingredients. Ingredients: གསེར་བྱེ། བཙོ་ཐལ། ལྕགས་རྩི་བཏུལ་མ། སྨྱུག་ཅུ་གང། ས་ཅུ་གང། ཛ་ཏི། ཀོ་ལ་འབྲུ། ལི་ཤི། བ་རུ། སྐྱུ་རུ། སུག་སྨེལ། ཨ་འབྲས། སྲ་འབྲས། འཇམ་འབྲས། ཙན་དཀར། རྒྱ་མཚལ་བཏུལ་མ། བསེ་རུ། སྡིག་སྲིན། གསེར་བྱེ། ལྕམ་འབྲུ། དཔའ་པོ་དཀར་པོ། བོང། དམར། དཔའ་པོ་གསེར་པོ། སུ་མི་དམར་པོ། ཀོ་བྱི་བཏུལ་མ། གུ་ཡ་ཨུུ་དཀར་པོ།  
ཁ་ཆེ་ཤ་སྐམ།བྲག་སྤོས།རེ་རལ།སྲམ་འབྲུན་ནུས་བསྲེགས།བྲག་སྐྱ་ཧོ།རུ་རྟ།བ་ཤ་ཀ།བོང་དཀར།ཉ་རུས་ནུས་བསྲེགས།གླ་རྩི།བྲག་ཞུན་ཁན།ཏ།གྱུ་རྙིང་ལས་སྣོན།གཧི་ཝམ།བྱུ་རུ་ལས་སྣོན།མུ་མེན་ལས་སྣོན།དོམ་མཁྲིས།མུ་ཏིག་ལས་སྣོན།ཡུང་བ།ཆར་ཉུང་ཁན་ཏ།ཉ་ཕྱིས་ལས་སྣོན་	Nature: Slightly cool Uses: It is a remedy for chemical poison, food poison, poisonous bites, environmental pollution and is beneficial in the treatment of blood and མཁྲིས་པ disorders, བད་ཀན་སྨུག་པོ། hidden fever, chronic fever, three stages of dropsy, wounds, skin diseases, pulmonary diseases, ulcers, primary cancer cases, swelling in the throat and conditions in which one passes blood from the bowel and mouth. [e:Nature: Slightly cool Uses: It is a remedy for chemical poison, food poison, poisonous bites, environmental pollution and is beneficial in the treatment of blood and མཁྲིས་པ disorders, བད་ཀན་སྨུག་པོ། hidden fever, chronic fever, three stages of dropsy, wounds, skin diseases, pulmonary diseases, ulcers, primary cancer cases, swelling in the throat and conditions in which one passes blood from the bowel and mouth.  
རིན་ཆེན་བཙོ་བཀྲུ་ཟླ་ཤེལ་ཆེན་མོ་	The Great Precious Purified Moon Crystal This preparation was formulated by Nagarjuna ( མགོན་པོ་ཀླུ་སྒྲུབ ) and introduced in Tibet by ཨཱོ་རྒྱན་པ་རིནཆེན་དཔལ [e:The Great Precious Purified Moon Crystal This preparation was formulated by Nagarjuna ( མགོན་པོ་ཀླུ་སྒྲུབ ) and introduced in Tibet by ཨཱོ་རྒྱན་པ་རིནཆེན་དཔལ (1229-1309) and ཟུར་མཁར་པ . It consists of around sixty different ingredients. Ingredients: ཀ་ཀོ་ལ། ཅོང་འཛོ། སྨུག་ཅུ་གང། གུར་གུམ། ལི་ཤི། ཛ་ཏི། སུག་སྨེལ། དུག་ཉུང། ཙན་དན་དཀར་པོ། ཨ་རུ། མ་ནུ། ཙན་དན་དམར་པོ། སྐྱུ་རུ། རུ་རྟ། གསེར་མེ། པི་པཏ་ལིང། ཆུ་རྩ། ཁུར་རྩ། སུམ་ཏིག། བོང་དཀར། བ་ཤ་ཀ། ཧོང་ལེན། ཨུུཏ་པལ། ལུག་རུ་སྨུག་པོ། བྲག་ཞུན། ཀོ་བྱི་ལ་དུག་བཏོན། གཧི་ཝམ། སེ་འབྲུ། གངས་ཐིག་ཆུ་བཅད། ལྕགས་རྩི་བཏུལ་མ། གླ་རྩི། པྲི་ཀུ། ཁ་ཆེ་ཤ་སྐམ། དོམ་མཁྲིས། བཙོ་ཐལ། ཆས་སྨན། གུལ་ནག། Nature: Slightly cool Uses: It is beneficial in the treatment of བད་ཀན་སྨུག་པོ། poor vision, heartburn, pain in gastrohepatic, 9tn and 12tn thoracic vertebra, post digestive pain, weak digestive system giving rise to symptoms like eructation, vomiting, diarrhoea, haematemesis, dysentery, abdominal cramps, microorganisms, diseases due to serous fluids, stomach tumour, hidden, chronic, spreading and disturbed fevers, three stages of dropsy, persistent cough with blood and improves memory.  
རིན་ཆེན་གྱུ་རྙིང་ཉེར་ལྔ་	The Great Precious Old Turquoise Twenty Five This compound was formulated by དཔོན་ཚང་ཛན་ན and it consists of twenty five ingredients. [e:The Great Precious Old Turquoise Twenty Five This compound was formulated by དཔོན་ཚང་ཛན་ན and it consists of twenty five ingredients. Ingredients: སྐྱུ་རུ། ཙན་དཀར། གྱུ་རྙིང་ལས་སྣོན་བྱས་པ། ཨ་རུ། མུ་ཏིག་ལས་སྣོན་བྱས་པ། རུ་རྟ། བྱུ་རུ་ལས་སྣོན་བྱས་པ། ཨ་གར། མཚལ་ཀར་བཏུལ་མ། ལྕགས་ཕྱེ། བྲག་ཞུན། ཙན་དམར། བ་ལེ་ཀ། སྟག་ཤ། ཛ་ཏི། བོང་ཀར། གསེ་སར། རྡོ་དྲེགས། བསེ་རུ། ཀོ་བྱི་ལ། གཧི་ཝམ། ལི་ཤི། ཅུ་གང་ལེགས་པ། གུར་གུམ། གླ་རྩི། སུག་སྨེལ། ཆོས་སྨན Nature: Slightly cool Uses: It is beneficial in the treatment of wasting of the body due to liver ailment, pressure in the upper back, stiff neck, head ache due to proliferation of bad blood, epistaxis, heavy sleep (in the day time), dryness of the mouth, blood-shot eyes, hepato-gastrodynia, loss of appetite and haematemesis due to excess intake of alcohol.  
རིན་ཆེན་ན་ན་བསམ་འཕེལ་	The Precious Wish fulfilling Jewel This preparation is based on the formula by ཨོ་རྒྱན་པ་རིནཆེན་དཔལ [e:The Precious Wish fulfilling Jewel This preparation is based on the formula by ཨོ་རྒྱན་པ་རིནཆེན་དཔལ (1229-1309) and it consists of about seventy ingredients. Ingredients: ལྷང་ཐལ། བཅུ་གང། མུ་ཏིག་ལས་སྣོན་བྱས་པ། ཛི་ནག། བྱུ་རུ་ལས་སྣོན་བྱས་པ། བ་རུ། བཙོ་ཐལ། གསེར་ཐལ། དངུལ་ཐལ། ཡངས་ཐལ། ལྕགས་ཐལ། ཞ་ཐལ། གཤའ་ཐལ། རག་ཐལ། འཁར་ཐལ། ཙན་དམར། ཏི་ཐལ། ཁམས་བདུན་ཐལ་བ། སྨུག། ཅུ་གང་ལེགས་པ། གུར་གུམ། ལི་ཤི། ཛ་ཏི། སུག་སྨེལ། ཀ་ཀོ་ལ། ཛི་དཀར། ཤིང་ཚ། པི་པི་ལིང། ཨ་རུ། སྐྱུ་རུ། ཨར་ནག་ལེགས་པ། ཙན་དཀར། ཤིང་མངར། སྤོས་དཀར། སོ་མ་ར་ཟ། སྒ་སྐྱ། སྡིག་སྲིན། རྒྱ་ཚ། རི་སྙིང། གུལ་ནག། གཟི་དཀར་ཕྲ་མེན་ལས་སྣོན་བྱས་པ། གཟི་དམར་ལས་སྣོན་བྱས་པ། གཟི་སྨུག་ལས་སྣོན་བྱས་པ། གཟི་ཁྲ་བོ་ལས་སྣོན་བྱས་པ། གྱུ་ལེགས་པ་ལས་སྣོན་བྱས་པ། མཏཧསོང་དམར་ལས་སྣོན་བྱས་པ། མ་ནི་ཧོ་ལས་སྣོན་བྱས་པ། སྡིག་ནག་དུག་ཕྲལ། ཉ་ཕྱིས། ཐལ་རྡོར། གཧི་ཝརན། ས་འཛིན། གྱང་ཏྲི་ལས་སྣོན་བྱས་པ། མར་གད་ལས་སྣོན་བྱས་པ། ཤ་སྐམ། གཟའ་བདུད་དཀར་པོ། མུ་མེན་ལས་སྣོན་བྱས་པ། ཞུ་མིག་ལས་སྣོན་བྱས་པ། ནལ་ལས་སྣོན་བྱས་པ། གླ་རྩི་གཟའ་བདུད་ནག་པོ། ལྕམའབྲུ། ཀླུ་བདུད་རྡོ་རྗེ། ཏེ་ལོའི་ཤ། འབྲོང་གི་སྙིང་ཁྲག། བསེ་རུ་བཏུལ་མ། Nature: Neutral Uses: It is beneficial in the treatment of apoplexy, depression,epilepsy, loss consciousness, dermatological diseases, neurological disorders, paralysis, swelling of the extremities due to bad blood circulation, acute pain, involuntary defecation and urination, difficulty in closing and opening of eyelids and lips, impaired sense organs, hypertension, cardiac disease, chronic pulmonary disease, internal and external abscesses, numbness, parkinson's disease, contraction and stiffness of the limbs, insanity, fainting and impaired hearing.  
རིན་པོ་ཆེ་ལས་གྲུབ་པའི་སྨན་	Pills compounded from precious ingredients [e:Pills compounded from precious ingredients (gold, turquoise, coral etc.)  
རིམས་འདེབས་	Attack from contagious fever [e:Attack from contagious fever  
རིམ་ས་ཚད་	reem tshey Epidemic fever [e:reem tshey Epidemic fever  
རིམས་སྲུང་	reem soong Protection from infection [e:reem soong Protection from infection  
རིལ་དཀར་པད་སྡོང་	Lotus White Pill A compound which cures disorders of bile, phlegm and headache. [e:Lotus White Pill A compound which cures disorders of bile, phlegm and headache.  
རུ་རྟ་བཅུ་གསུམ་	Saussurea Thirteen [e:Saussurea Thirteen Ingredients: རུ་རྟ། སྐྱུ་རུ། སེ་འབྲུ། བ་ཤ་ཀ། སུག་སྨེལ། པི་པི་ལིང། བྱི་ཏང་ག། མ་རུ་རྩེ། ཕུར་ནག་ཐལ། ལང་ཐང་རྩེ། ཨ་རུ་ར། ཐང་ཕྲོམ་དཀར་པོ། གླ་རྩི Nature: Neutral Uses: This compound is also known as Turquoise Thirteen ( གྱུ་རིལ་བཅུ་གསུམ ). It cures brown phlegm, blood, bile, བད་ཀན། stomach and digestive disorders.  
རུ་ཏྲ་དྲུག་པ་	Saussurea Six [e:Saussurea Six Ingredients: རུ་རྟ། སྐྱུ་རུ། སེ་འབྲུ། བ་ཤ་ཀ། སུག་སྨེལ། པི་པི་ལིང། ཀ་ར Nature: Neutral Uses: A compound which cures pain due to brown phlegm; vomiting and severe pain due to indigestion.  
རུ་ཞི་	Pacifying Saussurea Uses: A compound which cures stomach distension, pain in the evening, indigestion and severe pain due to cold wind disorders. [e:Pacifying Saussurea Uses: A compound which cures stomach distension, pain in the evening, indigestion and severe pain due to cold wind disorders.     
རུས་ཁམས་ངོས་འཛིན་	Recognition of bone elements [e:Recognition of bone elements  
རུས་ནད་	Bone disorders [e:Bone disorders (e.g Polio)  
རུས་པའི་འགོས་ནད་	Osteomyelitis [e:Osteomyelitis  
རུས་པ་འལ་གཉན་གཞི་	Osteitis A condition characterised by inflammation of a bone [e:Osteitis A condition characterised by inflammation of a bone  
རུས་པ་སོབ་པོ་ཆགས་པ་	Osteoporosis A condition characterised by softening of a bone [e:Osteoporosis A condition characterised by softening of a bone  
རུས་པའི་གསོས་	A synonym for ཅོང་ཞི [e:A synonym for ཅོང་ཞི (calcite)  
རུས་ལྤགས་སྦྱར་	Adherence of skin to the bones [e:Adherence of skin to the bones  
རུས་སྦལ་གྱི་སྙིང་ཤ་	Flesh from turtle's heart [e:Flesh from turtle's heart  
རུས་སྦལ་གྱི་རླུང་	Tortoise wind; a kind of wind energy [e:Tortoise wind; a kind of wind energy  
རུས་སྦལ་མམ་པ་ལྔ་	The five kinds of tortoise ༼m1༽ གནས — Resident tortoise ༼m2༽ ཆགས — Formed tortoise ༼m3༽ སྲིད — Existence tortoise ༼m4༽ སྤྲུལ — Emanation tortoise [e:The five kinds of tortoise   ༼m1༽ གནས — Resident tortoise   ༼m2༽ ཆགས — Formed tortoise   ༼m3༽ སྲིད — Existence tortoise   ༼m4༽ སྤྲུལ — Emanation tortoise   ༼m5༽ བཤད - Speaking tortoise  
རུས་ལྷག་	Bone-spur [e:Bone-spur  
རེ་སྐོན་རྩི་སྐྱ་	Corydalis boweri Hemsl [e:Corydalis boweri Hemsl  
རེ་སྐོན་རྩི་དམར་	༼bot=༽ Corydalis hendersonii Hemsl [e:༼bot=༽ Corydalis hendersonii Hemsl Taste: Bitter Uses: It is beneficial in the purification of contaminated blood, treats fevers related with blood and inflammation of nerve tissues.  
རེག་པ་རྩ་	Palpation One of the diagnostic techniques in Tibetan Medicine, where a doctor feels the artery of the patient's wrist and diagnoses the disorder. [e:Palpation One of the diagnostic techniques in Tibetan Medicine, where a doctor feels the artery of the patient's wrist and diagnoses the disorder.  
རོ་དང་ཕྱོགས་མཐུན་ནུས་པ་	The medicine, which share similar properties or natures as taste, power and the post digestive taste. [e:The medicine, which share similar properties or natures as taste, power and the post digestive taste.  
རོ་ཙ་ཉམས་པ་	Impotence It refers to inability of a man to produce or sustain a penile erection. [e:Impotence It refers to inability of a man to produce or sustain a penile erection.  
རོ་ཙའི་སྨན་	Aphrodisiac [e:Aphrodisiac  
རོ་ཙ་ཞན་པ་	Impotency [e:Impotency  
རོ་ལ་གཞོན་པ་	To ride a corpse [e:To ride a corpse  
རོག་པོ་ཛོམས་སྐྱེས་	༼bot=༽ Corgdalis paohypoda [e:༼bot=༽ Corgdalis paohypoda (Franch) Hand- Mazz Uses: It treats lung diseases and cranial fractures. རོད A collective name for physical outlook, complexion and strength  
རོལ་མོ་མ་	Vadya; the offering goddess of music [e:Vadya; the offering goddess of music     
རླན་ལ་གནས་པའི་སྡེ་	A group of aquatic creatures རླིག་པ་འཕྱང་བ Elongation of the scrotal sac [e:A group of aquatic creatures རླིག་པ་འཕྱང་བ Elongation of the scrotal sac  
རླིག་རླུགས་ནད་	Hydroceles [e:Hydroceles  
རླུང་སྐར་	The wind constellation [e:The wind constellation  
རླུང་གི་ནད་སེལ་	loong gee ney sel To alleviate wind disorders [e:loong gee ney sel To alleviate wind disorders  
རླུང་གིས་བུས་པ་	loong gee bue pa Inflated by wind [e:loong gee bue pa Inflated by wind  
རླུང་ནད་རིག་པ་	Psychiatry [e:Psychiatry  
རླུང་འོད་གསལ་ལྔ་པ་	Wind energy with five-fold rays It is the subtle wind energy, which serves as the mount for the clear mind of death. [e:Wind energy with five-fold rays It is the subtle wind energy, which serves as the mount for the clear mind of death.  
རླུང་སྲོག་འཛིན་	The Life-sustaining wind Location: Crown of the head Element: Water Actions: To form a link between the life [e:The Life-sustaining wind Location: Crown of the head Element: Water Actions: To form a link between the life (life force) and the body. It is also responsible for swallowing of food and drink, respiration, spitting, sneezing, eructation, clear sense faculties and retention of memory.  
རློན་གཤེར་	Humid [e:Humid  
བརླ་སྒང་	Ridge of the thighs [e:Ridge of the thighs  
བརླག་མོ་	Female eagle [e:Female eagle (Haliactus leucoryphus)  
བརླན་གྲང་	Damp and cold [e:Damp and cold  
ལ་ནས་འོང་བའི་དར་ཡ་ཀན་	It is a synonym of གང་ག་ཆུང (Gentiana urnula H.Sm) ལ་ཕུག ༼hn=༽ Moolaka ༼en=༽ Radish ༼bot=༽ Raphanus sativus [e:It is a synonym of གང་ག་ཆུང (Gentiana urnula H.Sm) ལ་ཕུག ༼hn=༽ Moolaka ༼en=༽ Radish ༼bot=༽ Raphanus sativus Taste: Sweet to hot Potency: Warm Uses: Fresh radish (Tib. ལ་ཕུག་གསར་པ ) is light and warm and hence promotes digestive heat, whereas old and stale radish is cool and heavy  
ལཕུག་གི་ཁུ་བ་	Radish juice [e:Radish juice (Raphanus sativus)  
ལ་ཕུག་གི་ས་བོན་	Radish seed [e:Radish seed (Raphanus sativus)  
ལ་ཕུག་ནར་སོན་	༼en=༽ Old radish ༼bot=༽ Raphanus sativus Uses: It increases བད་ཀན because of its heavy and cool potency. [e:༼en=༽ Old radish ༼bot=༽ Raphanus sativus Uses: It increases བད་ཀན because of its heavy and cool potency.  
ལ་ཕུག་གཞོན་ནུ་	la phook shon noo ༼en=༽ New radish ༼bot=༽ Raphanus sativus Uses: See ལ་ཕུག [e:la phook shon noo ༼en=༽ New radish ༼bot=༽ Raphanus sativus Uses: See ལ་ཕུག  
ལ་ཕུག་བསྲེགས་ཐལ་	Radish ash [e:Radish ash (Raphanus sativus)  
ལ་ལ་ཕུད་དཀར་པོ་	Ajvan, jawani ༼en=༽ White True Bishop's Weed ༼bot=༽ Foeniculum Vulgare Mill [e:༼sk= Ajvan, jawani༽ ༼en=༽ White True Bishop's Weed ༼bot=༽ Foeniculum Vulgare Mill Taste: Sweet to hot Potency: Warm Uses: It is useful in the treatment of cold disorders of stomach, distension and pain in the stomach, disorders due to micro-organism in the small and large intestines and promotes digestive heat and appetite.  
ལ་ལ་ཕུད་ནག་པོ་	Ajvan, jawani ༼en=༽ Black True Bishop's Weed ༼bot=༽ Burnet Saxifrage [e:༼sk= Ajvan, jawani༽ ༼en=༽ Black True Bishop's Weed ༼bot=༽ Burnet Saxifrage (Pimpinella involucrato) Taste: Sweet and hot Potency: Warm Uses: See ལ་ལ་ཕུད་དཀར་པོ  
ལ་ལ་ཕུད་སེར་པོ་	Ajvan, jawani ༼en=༽ Yellow true bishop's weed ༼bot=༽ Cnidium [e:༼sk= Ajvan, jawani༽༼en=༽ Yellow true bishop's weed ༼bot=༽ Cnidium (Cnidium Monnieri Cuss) Taste: Sweet and hot Potency: Warm Uses: See ལ་ལ་ཕུད་དཀར་པོ ལག Aridra, Betelgeuse; it is one of the twenty seven constellations or nakshatras  
ལག་བསྟར་གྱི་རྗེས་དཔག་	Practical reason [e:Practical reason  
ལཀ་པ་	Hand ལག་པའི་རྗེ་ངར་ཆུང་བ Ulna of the hand [e:Hand ལག་པའི་རྗེ་ངར་ཆུང་བ Ulna of the hand  
ལག་པའི་རྗེ་ངར་ཆེ་བ་	Radius of the hands [e:Radius of the hands  
ལང་འཚོ་སྦྱོར་	The combination of youth [e:The combination of youth  
ལམ་རིམས་ཆེན་མོ་	Great stages of the path [e:Great stages of the path  
ལས་ཀྱི་བདེ་བ་	Simultaneous bliss [e:Simultaneous bliss     
ལས་དང་ཉོན་མོངས་	Actions and afflictions [e:Actions and afflictions     
ལི་ཤི་དྲུག་པ་	Clove Six [e:Clove Six Ingredients: ལི་ཤི། ཅུ་གང། ཤིང་མངར། སྤང། རྒྱན་དཀར། རུ་རྟ། ཨ་རུ། ཀ་ར Nature: Cool Uses: A compound which cures pulmonary diseases, sore throat and horseness of voice.  
ལི་ཤི་མཚོན་འཁོར་	༼en=༽ Star anise [e:༼en=༽ Star anise Taste: Hot to sweet Potency: Warm Uses: It is beneficial for the treatment of pain and distension of stomach resulting from cold conditions, constipation, urine retention and kidney and waist pain.  
ལིག་བུ་མིག་ཆོག་	Superior chalcedony Uses: It has medicinal value to treat eye problems. ལིག་བུ་མིག་ལུགས་གྲིག A type of chalcedony [e:Superior chalcedony Uses: It has medicinal value to treat eye problems. ལིག་བུ་མིག་ལུགས་གྲིག A type of chalcedony  
ལིང་ཐོག་ནད་	Albugo of the cornea; pellicle of the eye [e:Albugo of the cornea; pellicle of the eye  
ལུག་ངལ་ཀརཔོ་	Pedicularis ingens Maxim [e:Pedicularis ingens Maxim  
ལུག་གདོང་	Sheep-faced demon [e:Sheep-faced demon (༼lv=lit༽ sheep face)  
ལུག་ཟླ་བ་	Sheep month; 4th month according to Tibetan elemental Astrology system [e:Sheep month; 4th month according to Tibetan elemental Astrology system  
ལུག་རུ་དམར་པོ་	༼bot=༽ Pedicularis przewalskii Maxim [e:༼bot=༽ Pedicularis przewalskii Maxim  
ལུད་པ་འདོན་སྨན་	Expectorant [e:Expectorant  
ལུརནས་	Medicinal bath therapy ལུས ༼m1༽ Body; which is characterised by two (i) The spheres which are the object of harm ( གནོད་བྱ་ཁམས ) (ii) The humour which are the h a r m e r s ( གནོད་བྱེད་ཉེས་པད ) [e:Medicinal bath therapy ལུས   ༼m1༽ Body; which is characterised by two (i) The spheres which are the object of harm ( གནོད་བྱ་ཁམས ) (ii) The humour which are the h a r m e r s ( གནོད་བྱེད་ཉེས་པད )   ༼m2༽ Body (one of the four objects of calculation in Tibetan Elemental Astrology) ལུས་ཀྱི་དབང་པོ་ལྔ Five senses of the body-eyes, nose, ears, tongue and body  
ལུས་ཀྱི་ལྡེ་མིག་	The key method to find body [e:The key method to find body (health) element  
ལུས་ཀྱི་གནས་ལུགས་	The anatomical description of the body [e:The anatomical description of the body (Anatomy)  
ལུས་ཀྱི་རཙའི་འགྲོ་ལུགས་	The vascular system [e:The vascular system  
ལུས་ཀྱི་མཚན་ཉིད་	Basic physiology of the body (Physiology) It explains the spheres which are the objects of harm (7 bodily constituents and [e:Basic physiology of the body (Physiology) It explains the spheres which are the objects of harm (7 bodily constituents and   ༼m3༽ excretions) and the humours (15 humours) which are the harmers.  
ལུས་ཀྱི་ལས་དང་དབྱེ་བ་	Actions and classifications of the body [e:Actions and classifications of the body     
ལུས་ངག་དྲག་	Vigorous physical and verbal exertion [e:Vigorous physical and verbal exertion  
ལུས་ངགྱིདགསུམ་ལས་	Activities of the body, speech and mind [e:Activities of the body, speech and mind  
ལུས་ལེལ་བ་	Ponderous lethargy, heaviness of the body [e:Ponderous lethargy, heaviness of the body  
ལུས་སྙོམ་	Dullness of the body, weakness of the body [e:Dullness of the body, weakness of the body  
ལུས་ཕགས་པོ་	Magestic body [e:Magestic body  
ལུས་བོངས་ཆུང་	Short in stature, short in height The people of རླུང [e:Short in stature, short in height The people of རླུང (wind) nature are short in stature.  
ལུས་སྨེ་	Body སྨེབ or birth སྨེབ [e:Body སྨེབ or birth སྨེབ  
ལུས་ཚ་	Burning sensation in the body and mind [e:Burning sensation in the body and mind  
ལོ་རྟགས་བཅུ་གཉིས་	The twelve animal signs of the twelve year cycle ༼m1༽ བྱི་བ -mouse ༼m2༽ གླང -ox ༼m3༽ སྟག -tiger ༼m4༽ ཡོཟ -hare or rabbit ༼m5༽ འབྲུག - dragon ༼m6༽ སྦྲུལ -snake ༼m7༽ རྟ -horse ༼m8༽ ལུག -sheep ༼m9༽ སྤྲེལ -monkey ༼m10༽ བྱ -bird ༼m11༽ ཁྱི -dog [e:The twelve animal signs of the twelve year cycle   ༼m1༽ བྱི་བ -mouse   ༼m2༽ གླང -ox   ༼m3༽ སྟག -tiger   ༼m4༽ ཡོཟ -hare or rabbit   ༼m5༽ འབྲུག - dragon   ༼m6༽ སྦྲུལ -snake   ༼m7༽ རྟ -horse   ༼m8༽ ལུག -sheep   ༼m9༽ སྤྲེལ -monkey   ༼m10༽ བྱ -bird   ༼m11༽ ཁྱི -dog   ༼m12༽ ་ཕག -pig or boar  
ལོ་རྟགས་བཅུ་གཉིས་ཀྱི་ཕྱག་རྒྱ་	Protective seals [e:Protective seals (Mudras) of the twelve year cycle ལོ་རྟགས་ཕོ་མོ The masculine and feminine of the animal signs   ༼m1༽ Masculine or male signs: Mouse, tiger, dragon, horse, monkey and dog   ༼m2༽ Feminine or female signs: Ox, hare, snake, sheep, bird, and pig  
ལོ་དག་	Standard year ལོ་ནག Black year [e:Standard year ལོ་ནག Black year     
ལོ་ནག་ཆེ་བ་	The great black year; If any of the four animal signs-tiger, monkey, pig and snake arise in the current year along with སྨེབ number two [e:The great black year; If any of the four animal signs-tiger, monkey, pig and snake arise in the current year along with སྨེབ number two (black), it becomes Black year.  
ལོ་བཙན་	It is a synonym of བྱ་རྐང [e:It is a synonym of བྱ་རྐང (Delphinium caeruleum Jacq. ex. Camb)  
ལོ་རྩ་བ་	Translator [e:Translator  
ལོ་ཤུར་	Stale greens [e:Stale greens  
ལོག་མེན་	The changeable animal signs Each person has one birth sign and one changeable animal sign. Birth sign remains constant until death whereas changeable sign changes every year [e:The changeable animal signs Each person has one birth sign and one changeable animal sign. Birth sign remains constant until death whereas changeable sign changes every year  
ལོག་མེན་ལེ་ལག་མམ་བཞི་	The four types of changeable animal signs ༼m1༽ འཇུ་ཐག ༼m2༽ རྟེན་ཕུར ༼m3༽ གནམ་རྒྱང [e:The four types of changeable animal signs   ༼m1༽ འཇུ་ཐག   ༼m2༽ རྟེན་ཕུར   ༼m3༽ གནམ་རྒྱང   ༼m4༽ ས་རྒྱང ལོག་གྱེམ Adultery  
ལོང་གི་ཆུ་ཙ་ཕྲན་བུ་	Minor water channels of the large intestine [e:Minor water channels of the large intestine  
ཤ་སྐེམ་	Thin body, thin physique ཤ་སྐྲན་བེམ་པོ Insensitive tumour of the flesh [e:Thin body, thin physique ཤ་སྐྲན་བེམ་པོ Insensitive tumour of the flesh  
ཤ་སྒྲིམ་	Muscles A band of tissue in the body that can contract so as to move or hold the position of a part of the body. [e:Muscles A band of tissue in the body that can contract so as to move or hold the position of a part of the body.  
ཤ་དར་ཇ་ཀན་	It is a synonym of རྨ་བྱའི་ཤ [e:It is a synonym of རྨ་བྱའི་ཤ (peacock's flesh). ཤ་དུག Meat poisoning  
ཤ་དྲོད་ཚ་བ་	Surface or body heat ཤ་ཕོ་རུ་རྟ ༼bot=༽ Aucklandia lappa Decne [e:Surface or body heat ཤ་ཕོ་རུ་རྟ ༼bot=༽ Aucklandia lappa Decne  
ཤ་བ་བཅད་འབྱོར་	It is a synonym of སྲོལ་གོང་པ [e:It is a synonym of སྲོལ་གོང་པ (Soroseris hookeriana).  
ཤ་བ་࿈་ཁྲག་ར་	The whitish, soft and hairy horn that replaces the old horn of a deer annually [e:The whitish, soft and hairy horn that replaces the old horn of a deer annually  
ཤ་བའི་བོག་ར་	Freshly changed horns of a deer [e:Freshly changed horns of a deer  
ཤ་ཟའི་ཤ་	Meat of carnivorus animals [e:Meat of carnivorus animals  
ཤང་དྲིལ་དཀར་པོ་	Primula sikkimenses Hook. ཤང་དྲིལ་དམར་པོ Primula secundiflora Franch ཤང་དྲིལ་སྨུག། ཆུང Primula bryophila Balf.et. Farrer [e:Primula sikkimenses Hook. ཤང་དྲིལ་དམར་པོ Primula secundiflora Franch ཤང་དྲིལ་སྨུག། ཆུང Primula bryophila Balf.et. Farrer  
ཤང་དྲིལ་སྨུག་ཆེན་	Primula nussola Balf. f. et. Forest [e:Primula nussola Balf. f. et. Forest  
ཤང་ཙེ་	༼bot=༽ Descurainia sophia [e:༼bot=༽ Descurainia sophia (L.) Schur Taste: Hot Uses: It removes pain due to a life-channels disorder, cures འབྲས། cancerous growth and removes swellings.  
ཤིག་དང་སྲོ་མ་	Lice and nits [e:Lice and nits  
